date,country,new_cases,new_deaths,total_cases,total_deaths,tests,region,subregion,ISO3,population_total,year,case_prev,case_inc,test_rate
2019-12-31,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-01,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-02,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-03,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-04,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-05,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-06,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-07,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-08,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-09,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-10,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-11,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-12,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-13,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-14,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-15,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-16,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-17,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-18,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-19,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-20,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-21,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-22,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-23,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-24,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
2020-01-25,Afghanistan,0,0,0,0,,Asia,Southern Asia,AFG,38041757.00000001,2019,0.0,0.0,
